Reward,Got Flag
1735.0,False
662.0,False
2140.0,False
1496.0,False
677.0,False
2334.0,False
1434.0,False
1062.0,False
656.0,False
2238.0,False
668.0,False
1448.0,False
1850.0,False
1451.0,False
2757.0,False
1055.0,False
1437.0,False
1551.0,False
1452.0,False
2390.0,False
2645.0,False
2281.0,False
1530.0,False
1600.0,False
1599.0,False
1719.0,False
1615.0,False
2476.0,False
1606.0,False
2253.0,False
1858.0,False
1068.0,False
2054.0,False
672.0,False
1569.0,False
1799.0,False
1481.0,False
674.0,False
2269.0,False
2736.0,False
1865.0,False
1474.0,False
2255.0,False
654.0,False
2144.0,False
1059.0,False
2128.0,False
645.0,False
1842.0,False
1469.0,False
655.0,False
1876.0,False
2144.0,False
1450.0,False
2552.0,False
1729.0,False
653.0,False
1649.0,False
1052.0,False
1467.0,False
1921.0,False
2523.0,False
654.0,False
1437.0,False
1485.0,False
2564.0,False
1059.0,False
1853.0,False
1587.0,False
2264.0,False
1926.0,False
1478.0,False
2150.0,False
1460.0,False
1995.0,False
1869.0,False
2557.0,False
1573.0,False
2428.0,False
1984.0,False
2830.0,False
1454.0,False
1452.0,False
1884.0,False
1874.0,False
2115.0,False
2400.0,False
1595.0,False
1604.0,False
1957.0,False
1874.0,False
1940.0,False
2283.0,False
1950.0,False
1553.0,False
1046.0,False
1483.0,False
