Iteration,BatchReward,GotFlag,AverageActorLoss,PercentageCompleted
521,17788.0,0,-0.056726035,36.06%
522,20501.0,0,0.06412378,36.13%
523,15784.0,0,-0.07320917,36.20%
524,21126.0,0,0.051908884,36.28%
525,20731.0,0,0.00851481,36.35%
526,18011.0,0,-0.202887,36.42%
527,18922.0,0,-0.040485393,36.49%
528,20462.0,0,-0.19521473,36.56%
529,19492.0,0,-0.009120263,36.62%
530,20490.0,0,-0.0034943062,36.69%
531,20302.0,0,-0.0013139045,36.76%
532,18345.0,0,-0.006966435,36.83%
533,19003.0,0,-0.043572042,36.90%
534,19003.0,0,-0.025574563,36.97%
535,18473.0,0,0.03787997,37.04%
536,16999.0,0,-0.012350645,37.11%
537,15721.0,0,-0.007319792,37.18%
538,18555.0,0,-0.032567427,37.25%
539,17596.0,0,0.07096533,37.31%
540,21109.0,0,-0.13302462,37.38%
541,16974.0,0,0.0045857183,37.45%
542,19518.0,0,0.057610087,37.52%
543,18736.0,0,0.06807444,37.59%
544,19370.0,0,-0.0074035157,37.66%
545,19983.0,0,-0.0718846,37.73%
546,20695.0,0,0.27615675,37.80%
547,19394.0,0,-0.049286116,37.87%
548,17957.0,0,0.030034764,37.94%
549,18471.0,0,0.00037372965,38.01%
550,19474.0,0,-0.07135701,38.07%
551,19208.0,0,-0.0038413364,38.14%
552,16029.0,0,-0.014617526,38.21%
553,18346.0,0,-0.0062680775,38.28%
554,19305.0,0,-0.0064835106,38.35%
555,18537.0,0,0.03592128,38.42%
556,19656.0,0,0.069069006,38.49%
557,20016.0,0,0.27808577,38.56%
558,20129.0,0,-0.03679059,38.63%
559,22039.0,0,0.098842695,38.70%
560,20410.0,0,0.010962285,38.77%
561,17038.0,0,0.2036882,38.84%
562,21233.0,0,0.0034986592,38.91%
563,19471.0,0,-0.028751215,38.98%
564,19308.0,0,-0.0070387195,39.04%
565,19559.0,0,0.05234478,39.11%
566,14703.0,0,-0.0039030449,39.18%
567,19813.0,0,-0.024145804,39.25%
568,19502.0,0,-0.05259231,39.32%
569,20772.0,0,-0.14199324,39.39%
570,18517.0,0,-0.004431646,39.46%
571,20964.0,0,-0.0020886585,39.54%
572,19568.0,1,0.004020818,39.60%
573,22054.0,0,-0.08639917,39.68%
574,15409.0,0,0.0098261265,39.75%
575,19906.0,0,0.035630643,39.81%
576,18607.0,0,0.059365653,39.89%
577,18580.0,0,-0.117618255,39.95%
578,19294.0,0,-0.0071468935,40.02%
579,20086.0,0,-0.029241154,40.09%
580,19483.0,0,-0.054935176,40.16%
581,18908.0,0,-0.07507089,40.23%
582,19422.0,0,0.049946103,40.30%
583,21901.0,0,-0.07139336,40.37%
584,21146.0,0,-0.0053790445,40.44%
585,19829.0,0,-0.17198052,40.51%
586,18868.0,0,0.004953502,40.58%
587,20662.0,0,0.026153628,40.66%
588,20650.0,0,0.087691486,40.73%
589,22004.0,0,-0.004880922,40.80%
590,17733.0,0,-0.037238736,40.86%
591,19132.0,0,-0.0064820866,40.93%
592,18620.0,0,0.006204515,41.01%
593,20473.0,0,-0.03237592,41.08%
594,18588.0,0,0.031646438,41.14%
595,19345.0,0,-0.023618054,41.21%
596,20868.0,0,-0.06296865,41.29%
597,18017.0,0,0.07671826,41.35%
598,20291.0,0,-0.004449271,41.42%
599,21759.0,0,-0.005556866,41.50%
600,18510.0,0,0.034461718,41.57%
601,20277.0,0,-0.00546404,41.64%
602,15729.0,0,-0.12123081,41.71%
603,19490.0,0,0.0013121234,41.78%
604,19092.0,0,0.0022604903,41.84%
605,16597.0,0,0.0069355927,41.91%
606,20237.0,0,-0.04548346,41.98%
607,19014.0,0,0.04566355,42.05%
608,22100.0,0,-0.01090691,42.12%
609,19564.0,0,-0.006483668,42.19%
610,18232.0,0,-0.016675364,42.26%
611,21496.0,0,0.011955458,42.33%
612,20582.0,0,-0.11370989,42.41%
613,21004.0,0,-0.007831422,42.48%
614,18321.0,0,-0.04850654,42.54%
615,18213.0,0,-0.0051427307,42.61%
616,16346.0,0,-0.0044337413,42.69%
617,19656.0,0,-0.008479194,42.76%
618,19515.0,0,0.107168496,42.83%
619,18885.0,0,-0.03605418,42.90%
620,20587.0,0,0.061039377,42.97%
621,19061.0,0,-0.021339038,43.04%
622,18900.0,0,0.022890083,43.11%
623,18396.0,0,-0.012900839,43.18%
624,17527.0,0,-0.15834177,43.25%
625,18893.0,0,-0.02883598,43.32%
626,20117.0,0,0.00556759,43.39%
627,19513.0,0,0.0015805116,43.46%
628,20266.0,0,-0.10990248,43.53%
629,18857.0,0,0.072381094,43.59%
630,16506.0,0,-0.007649301,43.66%
